chargeDeviceID,name,latitude,longitude,town,county,postcode,locationType,chargeDeviceStatus,paymentRequired,accessRestrictionFlag,parkingFeesFlag,subscriptionRequired,access24Hours,connector1Type,connector1RatedOutputKW,connector1ChargeMethod,connector1Status
4c63a38de84c8eb2ad7584bbb274af2d,St Nicholas Hospital,55.007749,-1.634267,Newcastle upon Tyne,Tyne and Wear,NE3 3XT,NHS property,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
5159a7b434755d9bb3d0041e46e26f6a,Newcastle Business Village,55.020102,-1.546101,Newcastle upon Tyne,Tyne and Wear,NE12 9SZ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
e50372d3fee4eadec9c42aa6528097cc,Newcastle Business Village,55.020202,-1.546101,Newcastle upon Tyne,Tyne and Wear,NE12 9SZ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
b68bcc008bf06986ac30f9be4452e879,Nestle PLC,55.011072,-1.656327,Newcastle upon Tyne,Tyne and Wear,NE3 3TR,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
b5577aba45689865029e06cbcfed73ca,Nestle PLC,55.011172,-1.656427,Newcastle upon Tyne,Tyne and Wear,NE3 3TR,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
15a016fffb4a3dc0bb2c48d98d268be7,Nestle PLC,55.011972,-1.656027,Newcastle upon Tyne,Tyne and Wear,NE3 3TR,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
e84ac9a0edc8b549661205c41bbf297f,Nestle PLC,55.011872,-1.656227,Newcastle upon Tyne,Tyne and Wear,NE3 3TR,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
6c2394673840081070b5b466f1c19da9,Nestle PLC,55.011572,-1.656127,Newcastle upon Tyne,Tyne and Wear,NE3 3TR,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
8f20fe72886d5849926d898864c46523,King George VI Car Park,54.978383,-1.617756,Newcastle upon Tyne,Tyne and Wear,NE1 4LP,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
3031746c0d0344107daebadeccbc2237,King George VI Car Park,54.978283,-1.617756,Newcastle upon Tyne,Tyne and Wear,NE1 4LP,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
213fc014f650fdfb0403e75c6d750fe5,Newington Road Depot,54.98,-1.5961,Newcastle upon Tyne,Tyne and Wear,NE2 1PX,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
322959058113d0592fbaaa5936f5c674,Newington Road Depot,54.98,-1.5962,Newcastle upon Tyne,Tyne and Wear,NE2 1PX,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
e3cbb2b5450e080ca960e2958f20e0ee,Nestle PLC,55.011672,-1.656627,Newcastle upon Tyne,Tyne and Wear,NE3 3TR,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
d006bce17dc2f016b118efb55be3e121,Derwenthaugh Road,54.961321,-1.685039,Newcastle upon Tyne,Tyne and Wear,NE16 3BL,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
dcd38e1b67396751a80e9e69f5ccf1b1,Derwenthaugh Road,54.961421,-1.685039,Newcastle upon Tyne,Tyne and Wear,NE16 3BL,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
11ecb0a77c9ccfd461881ce6b8338411,Shieldfield Centre,54.9777,-1.5991,Newcastle upon Tyne,Tyne and Wear,NE2 1AL,Other,In service,Yes,1,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
59e29dc7066b5a6fcf68b48e6dd67347,Shieldfield Centre,54.9777,-1.5992,Newcastle upon Tyne,Tyne and Wear,NE2 1AL,Other,In service,Yes,1,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
ba7f4fbe78b8a3c4618a5eaf93dce218,Allendale Road,54.9728,-1.5711,Newcastle upon Tyne,Tyne and Wear,NE6 2SZ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
9e8a5c1f4174912f20cdad10d566a2d2,Allendale Road,54.9728,-1.5712,Newcastle upon Tyne,Tyne and Wear,NE6 2SZ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
16a9298bcdf23042692df2d17c7e8a0a,Allendale Road,54.9729,-1.5711,Newcastle upon Tyne,Tyne and Wear,NE6 2SZ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
